Word,Wdnum,ValMn,ValSD,AroMn,AroSD,DomMn,DomSD,Length
abandon,2500,2.36,(1.65),4.66,(2.61),3.45,(2.44),7
abduction,621,2.76,(2.06),5.53,(2.43),3.49,(2.38),9
able,1041,6.74,(2.00),4.30,(2.17),6.83,(2.04),4
abortion,622,3.50,(2.30),5.39,(2.80),4.59,(2.54),8
abrupt,2501,4.22,(1.50),4.95,(2.16),4.78,(1.88),6
absent,1042,3.69,(1.72),4.73,(1.76),4.35,(1.87),6
absurd,623,4.26,(1.82),4.36,(2.20),4.73,(1.72),6
abundance,624,6.59,(2.01),5.51,(2.63),5.80,(2.16),9
abundant,2502,6.77,(1.74),5.22,(2.36),5.70,(1.77),8
abuse,1,1.80,(1.23),6.83,(2.70),3.69,(2.94),5
abusive,2503,1.77,(1.32),5.78,(2.80),3.47,(2.87),7
accept,1043,6.80,(2.11),5.53,(1.96),5.41,(1.92),6
acceptance,625,7.98,(1.42),5.40,(2.70),6.64,(1.91),10
access,1044,6.14,(1.62),5.07,(1.68),6.25,(1.53),6
accident,2,2.05,(1.19),6.26,(2.87),3.76,(2.22),8
accomplish,2504,7.86,(1.50),6.39,(2.25),6.98,(2.06),10
accord,1045,5.53,(1.20),4.24,(1.72),5.31,(1.20),6
accost,1046,4.28,(1.41),5.24,(1.92),4.38,(1.61),6
accuse,1047,2.54,(1.37),6.57,(1.93),4.07,(2.28),6
ace,626,6.88,(1.93),5.50,(2.66),6.39,(2.31),3
ache,627,2.46,(1.52),5.00,(2.45),3.54,(1.73),4
achieve,2505,7.89,(1.61),6.87,(2.20),6.98,(2.25),7
achievement,3,7.89,(1.38),5.53,(2.81),6.56,(2.35),11
acknowledge,2506,6.48,(1.68),4.71,(2.19),5.85,(1.82),11
acre,1048,5.66,(1.26),4.90,(1.88),6.04,(1.67),4
action,1049,6.63,(1.45),6.53,(1.87),5.63,(2.06),6
activate,4,5.46,(0.98),4.86,(2.56),5.43,(1.84),8
actor,1050,7.13,(1.31),6.07,(1.89),4.97,(1.73),5
ad,1051,5.00,(1.22),4.29,(1.70),5.00,(1.12),2
adapt,1052,5.72,(1.14),4.52,(1.86),5.43,(1.41),5
addict,581,2.48,(2.08),5.66,(2.26),3.72,(2.54),6
addicted,628,2.51,(1.42),4.81,(2.46),3.46,(2.23),8
adhere,1053,5.03,(1.16),4.07,(1.74),4.33,(1.77),6
adjust,1054,5.25,(1.55),5.39,(1.69),4.86,(1.46),6
