WORD,WORD_LOWER,WORD_CLASS,EMO_MEAN,EMO_STD,AROUSAL_MEAN,AROUSAL_STD,IMAGE_MEAN,IMAGE_STD,LETTERS,PHONEMES,SYLLABLES,Ftot/1MIL,N,FN,HFN,FHFN,BIGmean(TOKEN),ACCENT
AAL,aal,N,-0.5,0.707106781,2.380952381,1.244033379,6.555555556,0.726483157,3,2,1,13.33333333,6,3182,3,3175.17,83677.5,1
AAS,aas,N,-2.1,1.100504935,2.631578947,1.422459775,5.444444444,0.881917104,3,2,1,1,6,10568.83,5,10568.5,30120.5,1
ABART,abart,N,-1.6,0.699205899,3.277777778,1.017815166,2.333333333,1.322875656,5,5,2,1.166666667,2,3,1,2.33,80270,1
ABBAU,abbau,N,-1,1.1697953,3,1.297771369,2.22727273,1.23179382,5,4,2,14.5,1,6.83,0,0,94054.75,1
ABBAUEN,abbauen,V,-0.8,0.92,2.105263158,1.242521488,3.67,1.58,7,6,3,15.5,3,51,1,38,238806.3333,1
ABBILD,abbild,N,-0.2,0.632455532,2.105263158,0.809302638,3.777777778,1.986062548,6,6,2,3.5,0,0,0,0,45958.4,1
ABBRUCH,abbruch,N,-0.7,1.159501809,2.904761905,1.04425868,2.777777778,1.092906421,7,6,2,11,1,0.83,0,0,171129.5,1
ABDANKEN,abdanken,V,-0.4,0.84,2.666666667,1.084652289,2.67,1.41,8,8,3,1.166666667,0,0,0,0,226844,1
ABDRUCK,abdruck,N,-0.1,0.316227766,2.235294118,0.9701425,4.777777778,1.301708279,7,6,2,2.666666667,1,0,0,0,45577.33333,1
ABEND,abend,N,1.65,0.933302,1.833333333,0.923548145,4.45454545,1.68260775,5,5,2,131.6666667,0,0,0,0,460338.5,1
ABENDROT,abendrot,N,2.4,0.699205899,2,1.028991511,6.777777778,0.440958552,8,8,3,0.666666667,0,0,0,0,275273,1
ABENDS,abends,A,1,1.15,2.052631579,1.393384537,4.89,1.27,6,5,2,56.33333333,0,0,0,0,369196.4,1
ABFAHRT,abfahrt,N,0.3,0.483045892,3.117647059,1.166316474,4.888888889,1.364225462,7,6,2,9.5,0,0,0,0,66920.83333,1
ABFALL,abfall,N,-1.7,0.97872097,2.411764706,0.939336437,5.22727273,1.60154147,6,5,2,9.333333333,1,4.83,0,0,89284.4,1
ABFLUG,abflug,N,0.7,0.823272602,3.142857143,1.458962449,5.222222222,0.971825316,6,6,2,4.333333333,2,4.83,0,0,36366.6,1
ABFUHR,abfuhr,N,-1.35,1.08942283,3.55,1.145931017,2.40909091,1.62302161,6,5,2,3.333333333,1,0.33,0,0,49654.4,1
ABGANG,abgang,N,-0.95,1.05006265,2.315789474,1.056862841,2.04545455,1.25270271,6,5,2,6.666666667,1,1.5,0,0,115882.8,1
ABGAS,abgas,N,-2.05,0.88704121,2.882352941,1.053704948,3.90909091,1.54022543,5,5,2,2.666666667,0,0,0,0,50885.25,1
ABGEBEN,abgeben,V,-0.029411765,1.313918362,2.19047619,0.92838826,3.346153846,1.598557042,7,7,3,71.66666667,4,51,0,0,315499.5,1
ABGRUND,abgrund,N,-1.4,0.516397779,3.882352941,0.857492926,6.222222222,0.666666667,7,7,2,10.66666667,0,0,0,0,155399.8333,1
ABHANG,abhang,N,-0.5,0.527046277,3.352941176,1.221739358,6,0.707106781,6,5,2,1.5,2,11.83,2,11.83,138782.4,1
ABHAUEN,abhauen,V,-0.9,0.99,3.210526316,1.031662486,4.44,1.51,7,6,3,2,5,97,1,93,258127.5,1
ABHILFE,abhilfe,N,0.8,0.632455532,2.157894737,1.067872126,1.777777778,0.666666667,7,7,3,2.666666667,0,0,0,0,49708.83333,1
ABITUR,abitur,N,0.8,0.918936583,3.952380952,1.07126983,3.777777778,1.787300882,6,6,3,13.33333333,0,0,0,0,96230,3
ABKEHR,abkehr,N,-0.6,0.699205899,2.80952381,0.872871561,2.444444444,1.236033081,6,5,2,4.666666667,1,26.67,1,26.67,79763.4,1
ABLAUF,ablauf,N,0,0,2.105263158,0.809302638,2.111111111,0.927960727,6,5,2,36.16666667,2,6.17,0,0,108428,1
ABLEGER,ableger,N,0.1,0.567646212,2.222222222,0.878203752,3.666666667,1.870828693,7,7,3,1,3,28,2,28,364403.6667,1
ABLEHNEN,ablehnen,V,-0.941176471,1.153155788,3.047619048,1.283596139,3.115384615,1.557611584,8,7,3,91.83333333,2,3.67,0,0,237849.2857,1
ABMAGERN,abmagern,V,-1.2,0.42,2.315789474,1.529438226,5,1.32,8,8,3,2,1,13,1,13,302836.7143,1
ABORT,abort,N,-0.9,1.197219,2.380952381,1.116968687,3.888888889,2.368778401,5,5,2,0.666666667,1,1.17,1,1.17,76790.75,2
ABREISE,abreise,N,-0.3,0.823272602,3.294117647,1.046703509,4.444444444,1.333333333,7,6,3,9.5,1,0.83,0,0,246988.5,1
ABSAGE,absage,N,-2,0.666666667,3.368421053,1.065130473,2.777777778,1.6414763,6,6,3,9.333333333,2,2,0,0,112878,1
ABSATZ,absatz,N,-0.088235294,0.865768079,2.235294118,0.9701425,4.038461538,2.049014773,6,5,2,36.83333333,1,32,0,0,61617.8,1
ABSCHEU,abscheu,N,-2.1,0.875595036,4.058823529,0.96634545,3.777777778,1.6414763,7,4,2,3.5,0,0,0,0,235733.8333,1
ABSCHIED,abschied,N,-2.1,0.737864787,3.238095238,0.94365046,3.888888889,1.763834207,8,5,2,30.16666667,0,0,0,0,217523.4286,1
ABSEITS,abseits,A,-1.1,0.57,2.842105263,1.42451387,3.89,1.17,7,5,2,14.66666667,1,1,0,0,225530.6667,1
ABSENDER,absender,N,0,0.471404521,2.117647059,0.857492926,3.111111111,1.269295518,8,8,3,4.333333333,2,2.17,0,0,605176.8571,1
ABSICHT,absicht,N,0.6,0.966091783,2.578947368,1.070606758,2.111111111,0.78173596,7,6,2,71.16666667,1,142.33,1,142.33,245924.3333,1
ABSTAND,abstand,N,-0.352941176,1.203085753,1.944444444,0.802365783,3.807692308,1.855138394,7,7,2,46.66666667,1,3.67,0,0,163793.8333,1
ABSTIEG,abstieg,N,-1.4,0.843274043,2.944444444,0.872604096,4.222222222,1.715938357,7,6,2,5.5,1,12.17,1,12.17,139344.8333,1
ABSTURZ,absturz,N,-2,0.816496581,4.095238095,0.700340053,5.222222222,0.440958552,7,7,2,7.666666667,0,0,0,0,81411.16667,1
ABSURD,absurd,A,-1,0.94,3.421052632,0.901590537,2.33,1,6,6,2,13,0,0,0,0,63034.4,2
ABT,abt,N,0.2,0.632455532,1.526315789,0.696692268,5.888888889,1.364225462,3,3,1,13.16666667,6,1190.5,4,1180.83,60877,1
ABTEI,abtei,N,0,0.816496581,1.842105263,0.834210065,5.444444444,1.509230856,5,4,2,4,1,0,0,0,254738,1
ABTEIL,abteil,N,-0.15,0.933302,2.117647059,0.857492926,4.13636364,1.64158618,6,5,2,3.5,1,95.67,1,95.67,214264.4,2
ABWASSER,abwasser,N,-1.2,0.421637021,2.5,1.248528546,5.333333333,0.707106781,8,7,3,3.666666667,0,0,0,0,301670,1
ABWEG,abweg,N,-0.95,0.68633274,2.523809524,0.872871561,2.40909091,1.18156841,5,5,2,1,0,0,0,0,96556.5,1
ABWEHR,abwehr,N,-0.7,1.059349905,3.19047619,0.74960307,3.888888889,1.691481928,6,5,2,26.66666667,1,4.67,0,0,104913.8,1
